t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.111,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.63422441482544,False,0.0,0.0,-0.36545848846435547,,,,-60.0,False,,,"{""telemetry"": 1.1, ""graph"": 108.5}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.421,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.63551652431488,False,0.0004435447626747191,-0.0007675883825868368,-0.371649831533432,,,,-59.86,False,,,"{""telemetry"": 1.5, ""graph"": 218.0}",False,,,,,,,0.0,62.58,1.0,False,0.0,46.95,1.0,False,0.001,5.65,1.0,False
0.6,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.54665121351557,False,0.017933137714862823,-0.03101685456931591,-0.5191333293914795,,,,-58.42,False,,,"{""telemetry"": 1.3, ""graph"": 174.7}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.714,4,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.35890869023808,False,0.05953836441040039,-0.10297634452581406,-0.6986087560653687,,,,-56.15,False,,,"{""telemetry"": 0.9, ""graph"": 88.5}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.927,5,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.193497603159756,False,0.12424910068511963,-0.2140934318304062,-0.8547976613044739,,,,-52.3,False,,,"{""telemetry"": 1.4, ""graph"": 100.8}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.12,6,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.06558377481411,False,0.18628807365894318,-0.31887686252593994,-0.9745154976844788,,,,-47.82,False,,,"{""telemetry"": 1.4, ""graph"": 92.9}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.353,7,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.942643508456317,False,0.25231635570526123,-0.42783620953559875,-1.1200242042541504,,,,-41.62,False,,,"{""telemetry"": 0.8, ""graph"": 126.5}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.543,8,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.81562057919396,False,0.29719236493110657,-0.4998426139354706,-1.2589105367660522,,,,-35.3,False,,,"{""telemetry"": 1.0, ""graph"": 115.7}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.735,9,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.670792185058513,False,0.3359706997871399,-0.5603860020637512,-1.3711135387420654,,,,-28.43,False,,,"{""telemetry"": 0.7, ""graph"": 108.2}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.931,10,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.641022577754228,False,0.3698723614215851,-0.6123087406158447,-1.3537874221801758,,,,-21.08,False,,,"{""telemetry"": 1.4, ""graph"": 101.7}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.153,11,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.675145974082024,False,0.40000030398368835,-0.655443549156189,-1.3225573301315308,,,,-11.67,False,,,"{""telemetry"": 0.9, ""graph"": 123.9}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.368,12,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.696604494614935,False,0.41854000091552734,-0.677557647228241,-1.3067232370376587,,,,-2.43,False,,,"{""telemetry"": 1.6, ""graph"": 137.1}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.552,13,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.708070042198905,False,0.42642179131507874,-0.6832835078239441,-1.3000742197036743,,,,5.5,False,,,"{""telemetry"": 1.2, ""graph"": 121.3}",False,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
