t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,pitch_deg,roll_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.075,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.333887577056885,False,0.0,0.0,0.33409595489501953,0.0,0.0,0.0030210339464247227,-60.0,0.0,0.0,False,,,"{""telemetry"": 0.6, ""graph"": 73.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.339,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.336809247732162,False,0.00038532656617462635,-0.0006674050237052143,0.3361322283744812,0.02201109007000923,-0.038124315440654755,-0.16266022622585297,-60.0,0.0,0.0,False,,,"{""telemetry"": 1.0, ""graph"": 137.5}",False,,,,,,,,,0.0,,0.001,False,0.0,,0.001,False,0.0,,0.001,False
0.555,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.270290725615382,False,0.03245629370212555,-0.056215930730104446,0.1864706575870514,0.33196425437927246,-0.5749786496162415,-1.2966573238372803,-60.0,0.0,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 153.3}",False,,,,,,,,,0.0,,0.121,False,0.0,,0.121,False,0.0,,0.121,False
0.762,4,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,30.017296860410536,False,0.12683019042015076,-0.21967627108097076,-0.09021957218647003,0.591673731803894,-1.0248087644577026,-1.3447962999343872,-60.0,0.0,0.0,False,,,"{""telemetry"": 0.6, ""graph"": 159.8}",False,,,,,,,,,0.067,0.77,0.344,False,0.066,0.27,0.344,False,0.052,0.96,0.344,False
0.957,5,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.753803809574688,False,0.27061474323272705,-0.4687184691429138,-0.3411092162132263,0.764004111289978,-1.3232940435409546,-0.8986304998397827,-60.0,0.0,0.0,False,,,"{""telemetry"": 1.1, ""graph"": 154.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.148,6,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.575335627906206,False,0.41443994641304016,-0.7178310751914978,-0.4927598536014557,0.7618302702903748,-1.3195288181304932,-0.8464756011962891,-60.0,0.0,0.0,False,,,"{""telemetry"": 0.7, ""graph"": 145.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.35,7,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.412201147971633,False,0.5616068840026855,-0.9727320075035095,-0.6726189255714417,0.6756395697593689,-1.1702423095703125,-0.8970293402671814,-60.0,0.0,0.0,False,,,"{""telemetry"": 0.9, ""graph"": 147.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.552,8,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.245558427267294,False,0.6916999220848083,-1.198058843612671,-0.8504443168640137,0.583590030670166,-1.0107765197753906,-0.7801403403282166,-60.2,0.0,0.0,False,,,"{""telemetry"": 0.6, ""graph"": 149.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.707,9,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.101004150797795,False,0.7990908026695251,-1.3840636014938354,-1.0022587776184082,0.5038543939590454,-0.8729894161224365,-0.7603405714035034,-62.45,0.0,0.0,False,,,"{""telemetry"": 0.7, ""graph"": 104.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.927,10,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.96079402580329,False,0.9001790881156921,-1.5595017671585083,-1.1549450159072876,0.4290598928928375,-0.7468193769454956,-0.7192976474761963,-67.09,0.0,0.0,False,,,"{""telemetry"": 1.0, ""graph"": 122.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
