t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.1,1,slm,TOWNSIM_CALIB_PILOT,1,reactive,MANTENER_RUMBO,0,23.028657884742774,False,-1.0109678506851196,-50.33580780029297,-21.621047973632812,,,,-89.37,False,,,"{""telemetry"": 0.7, ""graph"": 98.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.374,2,slm,TOWNSIM_CALIB_PILOT,1,reactive,MANTENER_RUMBO,0,22.77001317757467,False,-1.0129057168960571,-50.57211685180664,-21.653242111206055,,,,-89.37,False,,,"{""telemetry"": 0.8, ""graph"": 171.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.598,3,slm,TOWNSIM_CALIB_PILOT,1,girar_90,GIRAR_90,0,22.536171729002298,False,-1.0135562419891357,-50.805625915527344,-21.806833267211914,,,,-89.28,False,,,"{""telemetry"": 0.7, ""graph"": 195.5}",False,,,,,0.072,0.74,0.419,True,0.05,0.16,0.419,True,0.086,0.52,0.419,True
0.759,4,slm,TOWNSIM_CALIB_PILOT,1,evasive,GIRAR_90,0,22.220872469875413,False,-1.012765645980835,-51.069854736328125,-21.98604965209961,,,,-88.98,False,,,"{""telemetry"": 1.1, ""graph"": 156.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.977,5,slm,TOWNSIM_CALIB_PILOT,1,evasive,GIRAR_90,0,21.886730916439475,False,-1.0113389492034912,-51.37746047973633,-22.047122955322266,,,,-87.28,False,,,"{""telemetry"": 0.9, ""graph"": 174.3}",False,,,,,0.0,,0.021,False,0.0,,0.021,False,0.0,,0.021,False
1.115,6,slm,TOWNSIM_CALIB_PILOT,1,evasive,GIRAR_90,0,21.619523399989607,False,-1.0099672079086304,-51.65719985961914,-22.053796768188477,,,,-84.86,False,,,"{""telemetry"": 0.9, ""graph"": 111.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.308,7,slm,TOWNSIM_CALIB_PILOT,1,evasive,GIRAR_90,0,21.400969980037754,False,-1.0090018510818481,-51.85981750488281,-22.060871124267578,,,,-82.27,False,,,"{""telemetry"": 1.0, ""graph"": 104.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.505,8,slm,TOWNSIM_CALIB_PILOT,1,evasive,GIRAR_90,0,21.229368239870105,False,-1.0082634687423706,-52.02188491821289,-22.062559127807617,,,,-79.45,False,,,"{""telemetry"": 0.7, ""graph"": 102.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.723,9,slm,TOWNSIM_CALIB_PILOT,1,reactive,MANTENER_RUMBO,0,21.10209901542405,False,-1.0076820850372314,-52.15337371826172,-22.059165954589844,,,,-76.34,False,,,"{""telemetry"": 0.9, ""graph"": 119.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.905,10,slm,TOWNSIM_CALIB_PILOT,1,reactive,MANTENER_RUMBO,0,21.00593874645072,False,-1.0070750713348389,-52.24046325683594,-22.057838439941406,,,,-73.94,False,,,"{""telemetry"": 0.9, ""graph"": 100.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
