t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.074,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.53462573232827,False,0.0,0.0,-0.3681582510471344,,,,-60.0,False,,,"{""telemetry"": 0.6, ""graph"": 72.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.37,2,slm,TOWNSIM_INI,1,evasive,EVADIR_IZQUIERDA,0,83.53546280718565,False,0.0,0.0,-0.3601224720478058,,,,-59.74,False,,,"{""telemetry"": 0.8, ""graph"": 168.5}",False,,,,,0.0,39.45,1.0,False,0.0,26.34,1.0,False,0.002,3.6,1.0,False
0.502,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.54075229680812,False,0.00020064982527401298,-0.00031628666329197586,-0.3534909784793854,,,,-56.72,False,,,"{""telemetry"": 0.7, ""graph"": 100.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.739,4,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.52441865310011,False,0.009038603864610195,-0.014327526092529297,-0.41364407539367676,,,,-55.25,False,,,"{""telemetry"": 0.8, ""graph"": 136.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.908,5,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.52711022253276,False,0.024762509390711784,-0.03914771229028702,-0.390989750623703,,,,-51.25,False,,,"{""telemetry"": 0.7, ""graph"": 105.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.097,6,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.53799448970352,False,0.038312818855047226,-0.059690892696380615,-0.37295326590538025,,,,-46.55,False,,,"{""telemetry"": 0.8, ""graph"": 93.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.295,7,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.54613768283947,False,0.050564300268888474,-0.07730389386415482,-0.35747280716896057,,,,-41.63,False,,,"{""telemetry"": 0.9, ""graph"": 91.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.494,8,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.55220866636921,False,0.06029307097196579,-0.09067953377962112,-0.34487617015838623,,,,-36.89,False,,,"{""telemetry"": 0.7, ""graph"": 90.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.693,9,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.55682906409088,False,0.06779766827821732,-0.10057254135608673,-0.3345896303653717,,,,-32.33,False,,,"{""telemetry"": 0.7, ""graph"": 89.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.905,10,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,83.56041348678121,False,0.07386729121208191,-0.10823918879032135,-0.3255826532840729,,,,-27.69,False,,,"{""telemetry"": 1.0, ""graph"": 100.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
