t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.096,1,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.620852024852155,False,0.0,0.0,-2.3841915130615234,,,,0.0,False,,,"{""telemetry"": 1.5, ""graph"": 91.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.415,2,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.635394596497471,False,0.0,0.0,-2.369724750518799,,,,0.26,False,,,"{""telemetry"": 0.5, ""graph"": 201.1}",False,,,,,0.0,42.7,1.0,False,0.0,27.0,1.0,False,0.002,4.76,1.0,False
0.548,3,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.648053457671117,False,0.0,0.0,-2.3576431274414062,,,,3.86,False,,,"{""telemetry"": 0.5, ""graph"": 129.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.749,4,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.655967417943795,False,0.0,0.0,-2.3526699542999268,,,,8.79,False,,,"{""telemetry"": 1.0, ""graph"": 117.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.953,5,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.65908262780235,False,0.0,0.0,-2.348539113998413,,,,14.3,False,,,"{""telemetry"": 1.0, ""graph"": 120.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.16,6,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.665240439321152,False,0.0,0.0,-2.3419809341430664,,,,19.61,False,,,"{""telemetry"": 1.0, ""graph"": 125.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.364,7,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.671070408574812,False,0.0,0.0,-2.336841344833374,,,,24.8,False,,,"{""telemetry"": 1.0, ""graph"": 127.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.563,8,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.67573991647196,False,0.0,0.0,-2.332602024078369,,,,29.91,False,,,"{""telemetry"": 1.5, ""graph"": 124.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.764,9,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.679600385348819,False,0.0,0.0,-2.329094171524048,,,,34.8,False,,,"{""telemetry"": 3.0, ""graph"": 122.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.956,10,slm,TOWNSIM_CALIB_0,0,reactive,MANTENER_RUMBO,0,7.682820859477403,False,0.0,0.0,-2.3263099193573,,,,38.92,False,,,"{""telemetry"": 1.5, ""graph"": 114.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
